Código,Nome,PU,Taxa Indicativa,data,Indexer
LORTE4,LOCALIZA RENT A CAR (*) (**),1048.01,1.05,26/09/2024,DI +
LORTF4,LOCALIZA RENT A CAR (*) (**),1045.52,1.62,26/09/2024,DI +
LRENB1,LOJAS RENNER S/A (*) (**),508.22,0.7,26/09/2024,DI +
LVTC12,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S/A (*) (**),973.57,6.68,26/09/2024,DI +
MANT12,MANAUS TRANSMISSORA DE ENERGIA S/A (*) (**),8786.28,1.44,26/09/2024,DI +
MATD11,HOSPITAL MATER DEI S.A. (*),1064.18,1.05,26/09/2024,DI +
MATD12,HOSPITAL MATER DEI S.A. (*),1029.01,1.1,26/09/2024,DI +
MEAL14,INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A. (*),1067.66,4.22,26/09/2024,DI +
MGLUA0,MAGAZINE LUIZA S/A (*),1015.15,4.0,26/09/2024,DI +
MILS26,MILLS ESTR. E SERVIÇOS DE ENGENHARIA S/A (*),785.57,1.44,26/09/2024,DI +
MNLT11,MNLT S.A.,1070.32,0.93,26/09/2024,DI +
MNRVA1,MINERVA S/A (*) (**),1057.69,1.42,26/09/2024,DI +
MOVI17,MOVIDA PARTICIPACOES S/A (*),1006.21,2.54,26/09/2024,DI +
MOVI19,MOVIDA PARTICIPACOES S/A (*) (**),1010.49,2.64,26/09/2024,DI +
MOVI27,MOVIDA PARTICIPACOES S/A (*) (**),999.12,3.07,26/09/2024,DI +
MOVI34,MOVIDA PARTICIPACOES S/A (*) (**),1018.43,2.19,26/09/2024,DI +
MOVIA2,MOVIDA PARTICIPACOES S/A (*),1055.8,2.18,26/09/2024,DI +
MOVIA3,MOVIDA PARTICIPACOES S/A (*),1000.19,2.85,26/09/2024,DI +
MRFGA0,MARFRIG GLOBAL FOODS S.A. (*) (**),1030.32,1.0,26/09/2024,DI +
MRFGA1,MARFRIG GLOBAL FOODS S.A. (*) (**),1053.23,1.19,26/09/2024,DI +
MRSL1A,MRS LOGÍSTICA S/A (*) (**),10231.89,0.73,26/09/2024,DI +
MRVEA8,MRV ENGENHARIA E PARTICIPAÇÃO S/A (*) (**),1016.76,1.77,26/09/2024,DI +
MRVEB2,MRV ENGENHARIA E PARTICIPAÇÃO S/A (*) (**),5135.72,1.75,26/09/2024,DI +
MTRO12,COMPANHIA DO METROPOLITANO DE SAO PAULO,769.65,0.88,26/09/2024,DI +
MULPA0,MULTIPLAN EMPREENDIMENTOS IMOBILIÁRIOS S/A (*) (**),1071.82,0.57,26/09/2024,DI +
MULPB1,MULTIPLAN EMPREENDIMENTOS IMOBILIÁRIOS S/A (*) (**),1041.67,0.51,26/09/2024,DI +
MVLV19,MOVIDA LOCACAO DE VEICULOS S.A. (*),1065.85,2.86,26/09/2024,DI +
MVLVA1,MOVIDA LOCACAO DE VEICULOS S.A. (*),1035.76,2.86,26/09/2024,DI +
NATUA3,NATURA COSMÉTICOS S/A (*),1038.99,0.85,26/09/2024,DI +
NIGP12,NOVA TRANSPORTE DO SUDESTE S.A. - NTS (*),1043.73,0.95,26/09/2024,DI +
NTSD16,NOVA TRANSPORTE DO SUDESTE S.A. - NTS (*),1033.34,0.62,26/09/2024,DI +
NTSD25,NOVA TRANSPORTE DO SUDESTE S.A. - NTS  (*),1040.95,0.63,26/09/2024,DI +
NTSD26,NOVA TRANSPORTE DO SUDESTE S.A. - NTS (*),1042.06,0.73,26/09/2024,DI +
NTSD35,NOVA TRANSPORTE DO SUDESTE S.A. - NTS (*),1049.64,0.86,26/09/2024,DI +
NTSD36,NOVA TRANSPORTE DO SUDESTE S.A. - NTS (*),1041.87,1.16,26/09/2024,DI +
OCNP13,OCEANPACT SERVICOS MARITIMOS S.A. (*),553.97,2.42,26/09/2024,DI +
OGDS11,OMEGA DESENVOLVIMENTO S.A. (*) (**),1042.65,1.89,26/09/2024,DI +
OMGE13,OMEGA GERAÇÃO S/A (*),870.44,0.99,26/09/2024,DI +
OMGE21,OMEGA GERAÇÃO S/A (*) (**),1049.7,0.73,26/09/2024,DI +
ONCO19,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S.A. (*) (**),1029.66,2.04,26/09/2024,DI +
ONCO29,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S.A. (*) (**),1033.43,2.02,26/09/2024,DI +
ONCOA1,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S.A. (*) (**),1025.4,2.26,26/09/2024,DI +
OPCT15,OCEANPACT SERVICOS MARITIMOS S.A. (*),1014.76,2.56,26/09/2024,DI +
ORMA15,ORIZON MEIO AMBIENTE S.A. (*),1025.38,1.42,26/09/2024,DI +
OVSA10,UNIDAS LOCACOES E SERVICOS S.A. (*) (**),1036.87,2.21,26/09/2024,DI +
OVSA1A,UNIDAS LOCACOES E SERVICOS S.A. (*) (**),1046.76,2.3,26/09/2024,DI +
OVSAA3,UNIDAS LOCACOES E SERVICOS S.A. (*),1022.71,2.52,26/09/2024,DI +
OVSAA8,UNIDAS LOCACOES E SERVICOS S.A. (*),1040.85,2.57,26/09/2024,DI +
PALFA2,COMPANHIA PAULISTA DE FORÇA E LUZ (*) (**),1044.56,0.67,26/09/2024,DI +
PALFA4,COMPANHIA PAULISTA DE FORÇA E LUZ (*),862.28,0.57,26/09/2024,DI +
PASS11,COMPASS GAS E ENERGIA S.A (*) (**),1040.29,0.99,26/09/2024,DI +
PASS12,COMPASS GAS E ENERGIA S.A (*),1071.6,0.98,26/09/2024,DI +
PASS13,COMPASS GAS E ENERGIA S.A (*),1013.78,0.79,26/09/2024,DI +
PEJA21,PETRO RIO JAGUAR PETROLEO S.A. (*),1034.28,1.23,26/09/2024,DI +
PLSB2A,AUTOPISTA LITORAL SUL S/A. (*),1052.66,1.62,26/09/2024,DI +
PRLG16,PROLAGOS S/A - C.S.PUBL. DE ÁGUA E ESGOTO (*),1082.06,2.0,26/09/2024,DI +
QUAL16,QUALICORP S/A (*) (**),767.03,2.99,26/09/2024,DI +
RADL15,RAIA DROGASIL S/A (*),1048.97,0.58,26/09/2024,DI +
RADL19,RAIA DROGASIL S/A (*),1043.41,0.67,26/09/2024,DI +
RDCO10,RODOVIAS DAS COLINAS S/A (*) (**),1051.14,1.18,26/09/2024,DI +
RDCO19,RODOVIAS DAS COLINAS S/A (*) (**),5183.21,1.06,26/09/2024,DI +
RDORA3,REDE DOR SÃO LUIZ S/A (*) (**),1051.38,1.13,26/09/2024,DI +
RDORA5,REDE DOR SÃO LUIZ S/A (*),1088.07,1.38,26/09/2024,DI +
RDORB3,REDE DOR SÃO LUIZ S/A (*) (**),1071.15,1.33,26/09/2024,DI +
RDORB5,REDE DOR SÃO LUIZ S/A (*),1079.6,1.47,26/09/2024,DI +
RDORB7,REDE DOR SÃO LUIZ S/A (*) (**),1036.71,0.8,26/09/2024,DI +
RDORB9,REDE DOR SÃO LUIZ S/A (*),1041.12,1.22,26/09/2024,DI +
RDORC1,REDE DOR SÃO LUIZ S/A (*),1086.19,1.37,26/09/2024,DI +
RDORC3,REDE DOR SÃO LUIZ S/A (*) (**),1072.41,1.3,26/09/2024,DI +
RDORC7,REDE DOR SÃO LUIZ S/A (*),1025.2,0.95,26/09/2024,DI +
RDORC9,REDE DOR SÃO LUIZ S/A (*),1042.63,1.19,26/09/2024,DI +
RDORD3,REDE DOR SÃO LUIZ S/A (*),1062.61,1.38,26/09/2024,DI +
RDORD9,REDE DOR SÃO LUIZ S/A (*),1060.34,1.32,26/09/2024,DI +
RENTA5,LOCALIZA RENT A CAR (*),1032.09,2.02,26/09/2024,DI +
RENTC4,LOCALIZA RENT A CAR (*),1046.33,1.7,26/09/2024,DI +
RENTC8,LOCALIZA RENT A CAR (*),1010.63,1.84,26/09/2024,DI +
RENTD9,LOCALIZA RENT A CAR (*),1052.24,1.85,26/09/2024,DI +
RIGEA2,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),1075.86,0.74,26/09/2024,DI +
RIGEA4,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*) (**),1045.03,0.64,26/09/2024,DI +
RIPR13,RIO PARANA ENERGIA S/A (*) (**),1036.37,0.93,26/09/2024,DI +
RNDN19,RANDON S.A. IMPLEMENTOS E PARTICIPACOES (*) (**),1030.56,0.91,26/09/2024,DI +
RNDN29,RANDON S.A. IMPLEMENTOS E PARTICIPACOES (*),1041.36,0.93,26/09/2024,DI +
RNDNA0,RANDON S.A. IMPLEMENTOS E PARTICIPACOES (*),1060.56,0.94,26/09/2024,DI +
RNDNA1,RANDON S.A. IMPLEMENTOS E PARTICIPACOES (*),1044.05,1.09,26/09/2024,DI +
RNDNB0,RANDON S.A. IMPLEMENTOS E PARTICIPACOES (*),1075.04,0.89,26/09/2024,DI +
RODB11,RODOVIAS DO BRASIL HOLDING S.A. (*),1616.3,2.24,26/09/2024,DI +
RRRP14,3R PETROLEUM OLEO E GAS S.A. (*),1034.96,2.37,26/09/2024,DI +
RSAN15,COMPANHIA RIOGRANDENSE DE SANEAMENTO - CORSAN (*),1053.3,1.84,26/09/2024,DI +
RSAN24,COMPANHIA RIOGRANDENSE DE SANEAMENTO - CORSAN (*) (**),509.07,1.82,26/09/2024,DI +
RSAN25,COMPANHIA RIOGRANDENSE DE SANEAMENTO - CORSAN (*),1061.87,2.28,26/09/2024,DI +
SAEL18,ENERGISA PARAIBA - DISTR.DE ENERGIA S/A,342.2,0.54,26/09/2024,DI +
SAEL26,ENERGISA PARAIBA - DISTR.DE ENERGIA S/A (*) (**),1039.11,0.49,26/09/2024,DI +
SAPRA1,COMPANHIA DE SANEAMENTO DO PARANA - SANEPAR (*) (**),1005.39,1.46,26/09/2024,DI +
SAPRB4,COMPANHIA DE SANEAMENTO DO PARANA - SANEPAR (*),1028.11,0.93,26/09/2024,DI +
SAPRC1,COMPANHIA DE SANEAMENTO DO PARANA - SANEPAR (*),1083.86,0.94,26/09/2024,DI +
SBFC12,SBF COMERCIO DE PRODUTOS ESPORTIVOS S.A.,350.7,0.88,26/09/2024,DI +
SBFC13,SBF COMERCIO DE PRODUTOS ESPORTIVOS S.A.,1066.96,1.03,26/09/2024,DI +
SBSPA1,CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SP - SABESP (*),1008.92,0.56,26/09/2024,DI +
SBSPB1,CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SP - SABESP (*),1031.87,0.63,26/09/2024,DI +
SBSPB7,CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SP - SABESP (*) (**),1041.06,0.84,26/09/2024,DI +
SBSPC1,CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SP - SABESP (*),1035.54,0.87,26/09/2024,DI +
SBSPC3,CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SP - SABESP,1044.58,0.44,26/09/2024,DI +
SBSPC7,CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SP - SABESP (*),1065.23,0.98,26/09/2024,DI +
SBSPD2,CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SP - SABESP (*) (**),1003.42,0.38,26/09/2024,DI +
SBSPD9,CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SP - SABESP (*) (**),1044.92,0.53,26/09/2024,DI +
SBSPE8,CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SP - SABESP (*) (**),1036.64,0.41,26/09/2024,DI +
SBSPF8,CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SP - SABESP (*),1047.65,0.76,26/09/2024,DI +
SBSPG0,CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SP - SABESP (*) (**),760.74,0.49,26/09/2024,DI +
SBSPH0,CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SP - SABESP (*),1030.57,0.74,26/09/2024,DI +
SIMH14,SIMPAR S.A. (*) (**),1025.86,2.44,26/09/2024,DI +
SIMH16,SIMPAR S.A. (*),1005.11,4.09,26/09/2024,DI +
SMFT18,SMARTFIT ESCOLA DE GINASTICA E DANCA S/A (*),1089.01,1.08,26/09/2024,DI +
SMFT19,SMARTFIT ESCOLA DE GINASTICA E DANCA S/A (*),1061.37,0.93,26/09/2024,DI +
SMFT29,SMARTFIT ESCOLA DE GINASTICA E DANCA S/A (*),1063.52,1.2,26/09/2024,DI +
SNGO10,SANEAMENTO DE GOIÁS - SANEAGO,932.43,0.45,26/09/2024,DI +
SNGO18,SANEAMENTO DE GOIÁS - SANEAGO,425.75,0.45,26/09/2024,DI +
SNGO19,SANEAMENTO DE GOIÁS - SANEAGO,650.59,0.41,26/09/2024,DI +
SNGOA1,SANEAMENTO DE GOIÁS - SANEAGO,1035.26,0.61,26/09/2024,DI +
SNGOA2,SANEAMENTO DE GOIÁS - SANEAGO,1010.57,0.54,26/09/2024,DI +
STBP24,SANTOS BRASIL PARTICIPAÇÕES S/A,1005.44,0.47,26/09/2024,DI +
SULA19,SUL AMÉRICA S/A (*) (**),1053.87,0.99,26/09/2024,DI +
SULA29,SUL AMÉRICA S/A (*),1063.4,1.14,26/09/2024,DI +
SUZB18,SUZANO S.A. (*) (**),10221.69,0.62,26/09/2024,DI +
SUZBA1,SUZANO S.A. (*),1039.01,0.75,26/09/2024,DI +
SUZBB1,SUZANO S.A. (*),1044.32,0.88,26/09/2024,DI +
SVEA22,SOLVI ESSENCIS AMBIENTAL S.A. (*),994.62,2.88,26/09/2024,DI +
TAEEA1,TRANS. ALIANÇA DE ENERGIA ELÉTRICA S/A,1081.01,0.49,26/09/2024,DI +
TAEEA5,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A. (*),1002.61,0.65,26/09/2024,DI +
TAEEB1,TRANS. ALIANÇA DE ENERGIA ELÉTRICA S/A,512.9,0.45,26/09/2024,DI +
TAEEC1,TRANS. ALIANÇA DE ENERGIA ELÉTRICA S/A,1035.86,0.37,26/09/2024,DI +
TBSP11,TIM BRASIL SERVICOS E PARTICIPACOES S.A (*),985.3,0.81,26/09/2024,DI +
TEND19,CONSTRUTORA TENDA S/A (*) (**),1009.46,3.21,26/09/2024,DI +
TFLE18,LOCALIZA FLEET S.A. (*) (**),337.52,1.49,26/09/2024,DI +
TFLEA0,LOCALIZA FLEET S.A. (*) (**),1060.23,1.47,26/09/2024,DI +
TFLEA1,LOCALIZA FLEET S.A. (*),1059.25,1.53,26/09/2024,DI +
TFLEA3,LOCALIZA FLEET S.A. (*),1036.58,1.75,26/09/2024,DI +
TFLEB0,LOCALIZA FLEET S.A. (*),1062.45,1.6,26/09/2024,DI +
TIET19,AES TIETE ENERGIA S/A (*) (**),1012.7,0.48,26/09/2024,DI +
TIETA0,AES TIETE ENERGIA S/A (*),1060.74,0.55,26/09/2024,DI +
TLPP27,TELEFÔNICA BRASIL S/A (*) (**),1040.08,0.7,26/09/2024,DI +
TRES11,TRES TENTOS AGROINDUSTRIAL S.A (*),1066.4,1.6,26/09/2024,DI +
TRIS17,TRISUL S/A (*) (**),391.69,1.27,26/09/2024,DI +
TRPLA3,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP (*),1032.15,0.79,26/09/2024,DI +
TRPLA5,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP (*),1004.39,0.7,26/09/2024,DI +
TRPLA6,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP (*),1036.48,0.81,26/09/2024,DI +
TRPLB5,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP (*),1004.77,0.77,26/09/2024,DI +
TSSG13,TRANSPORTADORA ASSOCIADA DE GAS S.A. - TAG (*),1031.29,0.89,26/09/2024,DI +
TUPY15,TUPY S/A (*),1025.43,0.78,26/09/2024,DI +
TUPY25,TUPY S/A (*),1022.79,0.99,26/09/2024,DI +
TUPY35,TUPY S/A (*),1020.54,1.22,26/09/2024,DI +
UNDAE1,UNIDAS S/A (*) (**),1015.27,1.77,26/09/2024,DI +
UNDAF5,UNIDAS S/A (*) (**),1041.53,1.49,26/09/2024,DI +
UNIP15,UNIPAR CARBOCLORO S/A,3471.86,0.31,26/09/2024,DI +
UNIP17,UNIPAR CARBOCLORO S/A,1092.8,0.64,26/09/2024,DI +
UNIP18,UNIPAR CARBOCLORO S/A (*),1106.18,0.82,26/09/2024,DI +
UNIP19,UNIPAR CARBOCLORO S/A (*),1010.18,0.75,26/09/2024,DI +
UNIP26,UNIPAR CARBOCLORO S/A,1068.32,0.34,26/09/2024,DI +
UNIP29,UNIPAR CARBOCLORO S/A (*),1007.43,1.18,26/09/2024,DI +
UQFN15,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A (*),1032.7,1.33,26/09/2024,DI +
USIM18,USINAS SIDERURGICAS DE MINAS GERAIS S/A - USIMINAS (*),1036.28,1.71,26/09/2024,DI +
USIM19,USINAS SIDERURGICAS DE MINAS GERAIS S/A - USIMINAS (*),1022.69,1.95,26/09/2024,DI +
USIM28,USINAS SIDERURGICAS DE MINAS GERAIS S/A - USIMINAS (*),1048.34,1.5,26/09/2024,DI +
USIM29,USINAS SIDERURGICAS DE MINAS GERAIS S/A - USIMINAS (*),1042.45,1.48,26/09/2024,DI +
USIM39,USINAS SIDERURGICAS DE MINAS GERAIS S/A - USIMINAS (*),1049.67,1.69,26/09/2024,DI +
VAMO13,"VAMOS LOCACAO DE CAMINHOES, MAQUINAS E EQUIPAMENTOS S.A. (*)",1038.02,2.23,26/09/2024,DI +
VAMO14,"VAMOS LOCACAO DE CAMINHOES, MAQUINAS E EQUIPAMENTOS S.A. (*)",1063.42,2.19,26/09/2024,DI +
VAMO17,"VAMOS LOCACAO DE CAMINHOES, MAQUINAS E EQUIPAMENTOS S.A.",1042.71,1.85,26/09/2024,DI +
VAMO22,"VAMOS LOCACAO DE CAMINHOES, MAQUINAS E EQUIPAMENTOS S.A. (*) (**)",679.58,1.49,26/09/2024,DI +
VAMO23,"VAMOS LOCACAO DE CAMINHOES, MAQUINAS E EQUIPAMENTOS S.A. (*)",1044.77,2.56,26/09/2024,DI +
VAMO24,"VAMOS LOCACAO DE CAMINHOES, MAQUINAS E EQUIPAMENTOS S.A. (*)",1078.0,2.37,26/09/2024,DI +
VAMOA0,"VAMOS LOCACAO DE CAMINHOES, MAQUINAS E EQUIPAMENTOS S.A. (*)",1021.65,2.06,26/09/2024,DI +
VBBR14,VIBRA ENERGIA S.A (*),1121.16,1.0,26/09/2024,DI +
VBBR15,VIBRA ENERGIA S.A (*),1076.47,0.97,26/09/2024,DI +
VBBR16,VIBRA ENERGIA S.A (*),1044.1,1.1,26/09/2024,DI +
VBBR24,VIBRA ENERGIA S.A (*),1135.67,1.18,26/09/2024,DI +
VECS11,VERT-11 COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS,1027.56,0.75,26/09/2024,DI +
VIAL1A,RODOVIAS INTEGRADAS DO OESTE S/A (*) (**),1023.15,1.46,26/09/2024,DI +
VIXL14,VIX LOGÍSTICA S/A,677.6,1.23,26/09/2024,DI +
VIXL15,VIX LOGÍSTICA S/A,1063.71,1.37,26/09/2024,DI +
VIXL18,VIX LOGÍSTICA S/A (*),1030.27,1.68,26/09/2024,DI +
VIXL25,VIX LOGÍSTICA S/A,1075.95,1.63,26/09/2024,DI +
VIXL26,VIX LOGÍSTICA S/A,1062.54,1.64,26/09/2024,DI +
VIXL35,VIX LOGÍSTICA S/A,1063.65,1.37,26/09/2024,DI +
VIXL45,VIX LOGÍSTICA S/A,1076.76,1.6,26/09/2024,DI +
VLID19,VALID SOLUCOES S/A (*),1051.65,1.84,26/09/2024,DI +
VLME11,VRENTAL LOCACAO DE MAQUINAS E EQUIPAMENTOS S.A. (*) (**),852.01,3.52,26/09/2024,DI +
VLME12,VRENTAL LOCACAO DE MAQUINAS E EQUIPAMENTOS S.A. (*),935.55,3.55,26/09/2024,DI +
VVEO15,CM HOSPITALAR S.A. (*) (**),821.39,13.52,26/09/2024,DI +
VVEO16,CM HOSPITALAR S.A. (*) (**),835.32,13.3,26/09/2024,DI +
WIZS11,WIZ SOLUCOES E CORRETAGEM DE SEGUROS S.A. (*) (**),1021.45,1.9,26/09/2024,DI +
XPVS24,XP INVESTIMENTOS S/A (*),1355.33,0.99,26/09/2024,DI +
XVII11,INFRAESTRUTURA BRASIL HOLDING XVII S.A (*) (**),630.51,2.36,26/09/2024,DI +
YDUQ18,YDUQS PARTICIPACOES S.A (*) (**),1012.64,1.0,26/09/2024,DI +
YDUQA0,YDUQS PARTICIPACOES S.A (*),1063.89,0.86,26/09/2024,DI +
ACRC21,ATLAS LUIZ CARLOS COMERCIALIZADORA DE ENERGIA S.A. (*),1035.54,7.18,26/09/2024,IPCA +
AEAB11,AES CAJUINA AB1 HOLDINGS S.A. (*),1166.73,7.08,26/09/2024,IPCA +
AEGP23,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),6884.78,9.55,26/09/2024,IPCA +
AESL17,RGE SUL DISTRIBUIDORA DE ENERGIA S/A,695.12,5.7,26/09/2024,IPCA +
AESLA5,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),1044.24,6.57,26/09/2024,IPCA +
AESLA7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),1007.75,6.56,26/09/2024,IPCA +
AESLB7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),1006.35,6.52,26/09/2024,IPCA +
AESOA1,AES TIETE ENERGIA S/A (*),1027.31,6.78,26/09/2024,IPCA +
AGVF12,AGRO INDUSTRIAS DO VALE DO SAO FRANCISCO SA - AGROVALE (*),1189.27,7.09,26/09/2024,IPCA +
ALGA27,ALGAR TELECOM S/A,703.93,6.16,26/09/2024,IPCA +
ALGAB1,ALGAR TELECOM S/A (*),1102.81,7.0,26/09/2024,IPCA +
ALGAC2,ALGAR TELECOM S/A (*),1083.03,7.09,26/09/2024,IPCA +
ALGE16,ALIANCA GERACAO DE ENERGIA S.A (*),1023.94,6.78,26/09/2024,IPCA +
ALGTA4,ALGAR TELECOM S/A (*),1016.3,7.08,26/09/2024,IPCA +
ALIG12,ALIANCA GERACAO DE ENERGIA S.A,915.69,6.5,26/09/2024,IPCA +
ALIG13,ALIANCA GERACAO DE ENERGIA S.A (*),907.12,6.49,26/09/2024,IPCA +
ALIG15,ALIANCA GERACAO DE ENERGIA S.A (*),1031.3,6.59,26/09/2024,IPCA +
ANET11,AMERICA NET S.A. (*),807.76,8.31,26/09/2024,IPCA +
ANET12,AMERICA NET S.A. (*),1139.62,8.5,26/09/2024,IPCA +
APFD19,AUTOPISTA FERNAO DIAS S/A (*),1068.32,7.1,26/09/2024,IPCA +
APRB18,AUTOPISTA REGIS BITTENCOURT S/A,1248.97,6.91,26/09/2024,IPCA +
ARTR19,ARTERIS S/A (*) (**),1223.88,7.08,26/09/2024,IPCA +
ASCP13,CONCESS. ROD. A. S. E C. PINTO S/A - ECOPISTAS (*),1042.94,6.81,26/09/2024,IPCA +
ASCP23,CONCESS. ROD. A. S. E C. PINTO S/A - ECOPISTAS (*),1145.34,6.85,26/09/2024,IPCA +
ASER12,AGUAS DO SERTAO S.A. (*),1093.78,8.23,26/09/2024,IPCA +
ASSR21,ASSURUA 5 ENERGIA S.A (*),1018.68,7.41,26/09/2024,IPCA +
AURE12,AUREN ENERGIA S.A. (*),1008.39,6.79,26/09/2024,IPCA +
BARU11,BARUERI ENERGIA RENOVAVEL S.A. (*),1025.79,7.66,26/09/2024,IPCA +
BCPSA5,CLARO S/A,986.1,6.64,26/09/2024,IPCA +
BHSA11,BARREIRAS HOLDING S.A. (*),1037.81,7.0,26/09/2024,IPCA +
BLMN12,BELO MONTE TRANSMISSORA DE ENERGIA SPE S.A.,1249.76,6.64,26/09/2024,IPCA +
BRKP28,BRK AMBIENTAL PARTICIPACOES S/A (*),1117.3,7.99,26/09/2024,IPCA +
BRST11,BRISANET SERVICOS DE TELECOMUNICACOES S.A. (*),1204.15,7.02,26/09/2024,IPCA +
CAEC12,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),1043.21,7.92,26/09/2024,IPCA +
CAEC21,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),1164.86,7.52,26/09/2024,IPCA +
CAJS11,CONCESSIONARIA AGUAS DE JUTURNAIBA S/A,1107.52,6.96,26/09/2024,IPCA +
CAJS12,CONCESSIONARIA AGUAS DE JUTURNAIBA S/A (*),1059.35,6.78,26/09/2024,IPCA +
CART12,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*) (**),611.77,6.1,26/09/2024,IPCA +
CART13,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*),11723.1,6.86,26/09/2024,IPCA +
CART22,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*) (**),610.64,8.17,26/09/2024,IPCA +
CASN23,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*),1116.01,9.32,26/09/2024,IPCA +
CBAN12,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,1331.78,6.94,26/09/2024,IPCA +
CBAN32,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,1353.38,6.93,26/09/2024,IPCA +
CBAN52,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,1356.71,6.88,26/09/2024,IPCA +
CBAN72,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,1350.85,6.97,26/09/2024,IPCA +
CCLS11,CICLUS AMBIENTAL DO BRASIL S.A. (*),1115.55,7.81,26/09/2024,IPCA +
CCRDD1,CCR S/A (*) (**),727.34,7.68,26/09/2024,IPCA +
CCROA5,CCR S/A (*),963.9,6.73,26/09/2024,IPCA +
CCROB4,CCR S/A (*) (**),1229.41,6.56,26/09/2024,IPCA +
CCROB6,CCR S/A (*),1135.72,6.63,26/09/2024,IPCA +
CEAD11,CEA II CENTRAIS EOLICAS ASSURUA II SPE S/A,977.59,6.82,26/09/2024,IPCA +
CEAP12,COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*) (**),1048.04,6.79,26/09/2024,IPCA +
CEAP14,COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*),1044.44,6.9,26/09/2024,IPCA +
CEAR25,COMPANHIA ENERGÉTICA DO CEARÁ - COELCE,723.44,6.37,26/09/2024,IPCA +
CEAR26,COMPANHIA ENERGÉTICA DO CEARÁ - COELCE,713.93,5.94,26/09/2024,IPCA +
CEEBA1,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,463.08,6.02,26/09/2024,IPCA +
CEEBB6,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),1037.92,6.6,26/09/2024,IPCA +
CEEBB7,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),1019.12,6.73,26/09/2024,IPCA +
CEEBC3,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),1152.49,6.64,26/09/2024,IPCA +
CEEBC4,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),1114.25,6.65,26/09/2024,IPCA +
CEED12,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),1120.44,6.8,26/09/2024,IPCA +
CEED13,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),1048.07,6.79,26/09/2024,IPCA +
CEED15,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),1013.9,6.72,26/09/2024,IPCA +
CEED21,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D,1150.69,6.63,26/09/2024,IPCA +
